,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
13,14,LaMarcus Aldridge,POR,81,39.6,21.8,8.7,17.5,50.0,0.0,0.3,17.4,4.3,5.5,79.1,3.4,5.3,8.8,2.1,1.0,1.2,1.9,23.1
14,15,Andrea Bargnani,TOR,66,35.7,21.4,8.0,17.8,44.8,1.2,3.4,34.5,4.3,5.3,82.0,1.1,4.1,5.2,1.8,0.5,0.7,2.3,16.6
15,16,Danny Granger,IND,79,35.0,20.5,6.8,15.9,42.5,2.0,5.2,38.6,5.0,5.9,84.8,1.1,4.3,5.4,2.6,1.1,0.8,2.6,17.7
16,17,Brook Lopez,NJN,82,35.2,20.4,7.9,16.0,49.2,0.0,0.0,0.0,4.7,6.0,78.7,2.4,3.5,6.0,1.6,0.6,1.5,2.1,18.4
17,18,Kevin Love,MIN,73,35.8,20.2,6.6,14.1,47.0,1.2,2.9,41.7,5.8,6.8,85.0,4.5,10.7,15.2,2.5,0.6,0.4,2.1,28.4
18,19,Zach Randolph,MEM,75,36.3,20.1,8.0,15.8,50.3,0.1,0.6,18.6,4.0,5.3,75.8,4.3,7.8,12.2,2.2,0.8,0.3,2.0,24.4
19,20,Michael Beasley,MIN,73,32.3,19.2,7.7,17.1,45.0,0.8,2.2,36.6,3.0,4.0,75.3,1.6,4.0,5.6,2.2,0.7,0.7,2.7,15.4
20,21,Paul Pierce,BOS,80,34.7,18.9,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86.0,0.4,5.0,5.4,3.3,1.0,0.6,2.1,19.8
21,22,David West,NOH,70,35.0,18.9,7.5,14.9,50.8,0.0,0.1,22.2,3.8,4.7,80.7,2.2,5.3,7.6,2.3,1.0,0.9,2.0,20.4
22,23,Pau Gasol,LAL,82,37.0,18.8,7.2,13.7,52.9,0.0,0.0,33.3,4.3,5.2,82.3,3.3,6.9,10.2,3.3,0.6,1.6,1.7,25.4
23,24,Chris Bosh,MIA,77,36.3,18.7,6.8,13.7,49.6,0.1,0.3,24.0,5.0,6.1,81.5,1.8,6.5,8.3,1.9,0.8,0.6,1.8,20.4
24,25,Al Jefferson,UTA,82,35.9,18.6,8.0,16.1,49.6,0.0,0.0,0.0,2.7,3.5,76.1,2.9,6.8,9.7,1.8,0.6,1.9,1.3,22.3
25,26,Stephen Curry,GSW,74,33.6,18.6,6.8,14.2,48.0,2.0,4.6,44.2,2.9,3.1,93.4,0.7,3.2,3.9,5.8,1.5,0.3,3.1,19.3
26,27,Luis Scola,HOU,74,32.6,18.3,7.7,15.3,50.4,0.0,0.0,0.0,2.9,3.9,73.8,2.0,6.2,8.2,2.5,0.6,0.6,2.0,19.6
27,28,Joe Johnson,ATL,72,35.5,18.2,7.1,16.1,44.3,1.2,4.2,29.7,2.7,3.4,80.2,0.8,3.2,4.0,4.7,0.7,0.1,2.0,16.0
28,29,Tony Parker,SAS,78,32.4,17.5,7.1,13.7,51.9,0.3,0.9,35.7,3.0,3.9,76.9,0.4,2.7,3.1,6.6,1.2,0.0,2.6,18.3
29,30,Luol Deng,CHI,82,39.1,17.4,6.5,14.1,46.0,1.4,4.1,34.5,3.1,4.1,75.3,1.4,4.4,5.8,2.8,1.0,0.6,1.9,17.1
30,31,Manu Ginobili,SAS,80,30.3,17.4,5.5,12.7,43.3,1.9,5.5,34.9,4.5,5.1,87.1,0.5,3.2,3.7,4.9,1.5,0.4,2.2,17.9
31,32,Paul Millsap,UTA,76,34.3,17.3,6.9,13.0,53.1,0.1,0.3,39.1,3.4,4.4,75.7,2.2,5.5,7.6,2.5,1.4,0.9,1.9,20.6
