,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
2025,Richard Hamilton,DET,26,200.66,193.0,Connecticut,USA,1999,1,7,78.0,17.6,3.6,4.0,7.0,2.9,7.2,24.8,52.2,21.2,'03-04
2026,Richard Jefferson,NJN,24,200.66,222.0,Arizona,USA,2001,1,13,82.0,18.5,5.7,3.8,5.0,3.7,11.8,22.5,57.3,18.0,'03-04
2027,Richie Frahm,SEA,26,195.58,210.0,Gonzaga,USA,Undrafted,Undrafted,Undrafted,54.0,3.4,1.0,0.4,7.2,2.7,9.8,14.8,60.8,8.1,'03-04
2028,Rick Brunson,CHI,32,193.04,190.0,Temple,USA,Undrafted,Undrafted,Undrafted,40.0,3.0,0.9,2.1,-6.2,2.1,7.7,16.0,49.7,33.1,'03-04
2029,Rick Fox,LAL,34,200.66,235.0,North Carolina,Canada,1991,1,24,38.0,4.8,2.7,2.6,4.2,3.5,8.6,13.1,45.9,16.1,'03-04
2030,Ricky Davis,BOS,24,200.66,195.0,Iowa,USA,1998,1,21,79.0,14.4,4.5,3.3,-4.1,3.2,11.2,22.4,53.3,18.8,'03-04
2031,Robert Archibald,TOR,24,210.82,250.0,Illinois,Scotland,2002,2,31,32.0,1.0,1.6,0.4,-2.4,7.5,12.8,10.3,34.3,8.9,'03-04
2032,Robert Horry,SAS,33,208.28,208.0,Alabama,USA,1992,1,11,81.0,4.8,3.4,1.2,8.7,7.9,12.6,15.6,49.6,13.0,'03-04
2033,Robert Pack,NJN,35,187.96,190.0,Southern California,USA,Undrafted,Undrafted,Undrafted,26.0,1.9,0.7,1.0,-16.8,1.9,6.7,15.1,44.8,26.2,'03-04
2034,Robert Traylor,NOH,27,203.2,284.0,Michigan,USA,1998,1,6,71.0,5.1,3.7,0.6,2.4,11.1,17.6,19.3,52.7,8.2,'03-04
2035,Rod Strickland,TOR,37,190.5,185.0,DePaul,USA,1988,1,19,61.0,6.3,2.5,4.0,-6.5,2.8,10.5,17.9,48.2,32.6,'03-04
2036,Rodney Buford,SAC,26,195.58,195.0,Creighton,USA,1999,2,53,22.0,1.9,0.7,0.3,-26.9,3.9,6.3,19.1,35.0,9.7,'03-04
2037,Rodney Rogers,NJN,33,200.66,255.0,Wake Forest,USA,1993,1,9,69.0,7.8,4.4,2.0,1.9,7.2,15.5,20.6,49.2,17.3,'03-04
2038,Rodney White,DEN,24,205.74,230.0,North Carolina-Charlotte,USA,2001,1,9,72.0,7.5,2.3,0.8,1.5,4.3,12.0,25.4,52.7,11.5,'03-04
2039,Roger Mason Jr.,TOR,23,195.58,200.0,Virginia,USA,2002,2,30,26.0,3.7,1.2,1.0,-7.2,0.3,10.0,18.6,44.6,16.4,'03-04
2040,Ron Mercer,SAS,28,200.66,210.0,Kentucky,USA,1997,1,6,39.0,5.0,1.3,0.6,-1.3,1.8,6.9,20.8,44.6,9.3,'03-04
2041,Ronald Dupree,CHI,23,200.66,209.0,Louisiana State,USA,Undrafted,Undrafted,Undrafted,47.0,6.2,3.6,1.2,-5.7,5.6,12.2,18.1,44.5,10.3,'03-04
2042,Ruben Boumtje-Boumtje,POR,26,213.36,257.0,Georgetown,USA,2001,2,49,9.0,0.4,0.1,0.1,-40.2,0.0,5.6,10.2,34.0,6.3,'03-04
2043,Ruben Patterson,POR,28,195.58,224.0,Cincinnati,USA,1998,2,31,73.0,6.9,3.7,1.9,-2.3,8.2,8.7,16.3,53.0,14.8,'03-04
2044,Rusty LaRue,GSW,30,190.5,185.0,Wake Forest,USA,Undrafted,Undrafted,Undrafted,4.0,1.0,0.8,0.5,-45.6,0.0,17.6,17.0,51.5,15.4,'03-04
2045,Ryan Bowen,DEN,28,205.74,220.0,Iowa,USA,1998,2,55,52.0,0.9,1.7,0.3,-0.9,8.5,12.1,7.0,39.5,7.5,'03-04
2046,Ryan Humphrey,MEM,24,203.2,235.0,Notre Dame,USA,2002,1,19,2.0,1.0,1.5,0.5,98.2,25.0,9.1,22.2,25.0,8.3,'03-04
2047,Sam Cassell,MIN,34,190.5,185.0,Florida State,USA,1993,1,24,81.0,19.8,3.3,7.3,9.8,1.7,7.7,26.4,56.6,35.4,'03-04
