,#,team,gp,w,l,min,"%fga
2pt","%fga
3pt","%pts
2pt","%pts
2pt- mr","%pts
3pt","%pts
fbps","%pts
ft","%pts
offto","%pts
pitp","2fgm
%ast","2fgm
%uast","3fgm
%ast","3fgm
%uast","fgm
%ast","fgm
%uast",season
16,17,New York Knicks,82,39,43,48.5,82.9,17.1,65.6,28.2,16.1,9.5,18.2,15.2,37.5,54.8,45.2,83.5,16.5,58.8,41.2,'03-04
17,18,Golden State Warriors,82,37,45,48.4,80.3,19.7,64.0,20.6,16.8,9.3,19.2,16.5,43.4,52.6,47.4,91.8,8.2,58.5,41.5,'03-04
18,18,Seattle SuperSonics,82,37,45,48.3,70.6,29.4,55.7,18.4,27.2,13.5,17.1,17.2,37.2,51.9,48.1,87.6,12.4,60.6,39.4,'03-04
19,20,Boston Celtics,82,36,46,48.1,75.1,24.9,58.6,21.7,21.2,12.5,20.1,19.4,36.9,52.4,47.6,87.5,12.5,59.2,40.8,'03-04
20,21,Cleveland Cavaliers,82,35,47,48.4,88.4,11.6,70.2,25.1,9.7,13.9,20.1,15.7,45.1,59.5,40.5,87.9,12.1,61.9,38.1,'03-04
21,22,Philadelphia 76ers,82,33,49,48.4,84.2,15.8,64.9,24.2,14.1,15.2,21.0,17.4,40.7,56.7,43.3,92.0,8.0,61.1,38.9,'03-04
22,22,Toronto Raptors,82,33,49,48.7,79.6,20.4,62.6,27.1,19.7,10.9,17.7,17.8,35.5,51.9,48.1,94.4,5.6,59.3,40.7,'03-04
23,24,Phoenix Suns,82,29,53,48.1,82.0,18.0,65.9,20.8,16.1,14.0,18.0,18.5,45.1,48.2,51.8,87.0,13.0,53.6,46.4,'03-04
24,25,Atlanta Hawks,82,28,54,48.5,80.9,19.1,63.3,23.3,16.5,13.1,20.2,16.1,40.1,53.7,46.3,84.5,15.5,58.3,41.7,'03-04
25,25,Los Angeles Clippers,82,28,54,48.3,84.4,15.6,64.0,19.2,12.7,9.5,23.3,15.9,44.8,55.0,45.0,86.6,13.4,58.7,41.3,'03-04
26,27,Washington Wizards,82,25,57,48.4,80.6,19.4,61.7,19.7,17.3,14.9,21.0,18.7,42.0,51.1,48.9,80.6,19.4,55.7,44.3,'03-04
27,28,Chicago Bulls,82,23,59,48.4,81.4,18.6,64.4,25.9,17.5,11.6,18.1,16.9,38.5,61.4,38.6,79.0,21.0,64.1,35.9,'03-04
