,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
3012,358,Brandon Bass,NOK,21,29,14,15,9.3,96.0,103.9,-7.9,2.0,0.27,3.2,7.3,18.9,13.3,11.8,40.0,43.4,15.5,90.85,8.0,503,'05-06
3013,358,Eric Piatkowski,CHI,35,29,14,15,7.9,97.0,92.5,4.5,8.6,1.18,15.1,1.6,8.3,4.8,12.8,46.7,46.7,13.6,97.48,4.4,463,'05-06
3014,358,Ronnie Price,SAC,23,29,15,14,5.2,87.2,99.3,-12.1,15.3,1.10,13.1,3.2,6.3,4.8,11.9,41.4,47.4,21.2,96.99,8.1,305,'05-06
3015,358,Tim Thomas,PHX,29,29,16,13,22.9,111.3,109.7,1.6,4.2,0.61,6.0,3.4,17.0,10.1,9.9,51.9,53.5,20.6,98.20,7.0,1363,'05-06
3016,358,Zeljko Rebraca,LAC,34,29,18,11,14.2,91.9,106.7,-14.8,3.9,0.38,6.0,3.4,14.0,8.6,16.1,54.2,59.2,15.2,95.96,6.1,825,'05-06
3017,364,Dale Davis,DET,37,28,20,8,6.3,99.1,106.6,-7.5,5.4,1.50,14.3,11.4,19.6,15.2,9.5,37.5,42.5,8.9,93.98,5.2,347,'05-06
3018,364,Eric Williams,TOR,33,28,9,19,12.6,103.8,109.7,-5.9,6.5,1.00,12.2,3.1,12.9,7.9,12.2,42.0,49.6,14.3,94.64,2.8,688,'05-06
3019,364,Jeff McInnis,NJN,31,28,15,13,17.4,93.1,111.4,-18.3,21.2,1.79,21.9,2.4,8.7,5.5,12.2,45.1,47.8,17.5,92.29,7.3,932,'05-06
3020,364,Mario Kasun,ORL,26,28,8,20,7.6,102.9,109.1,-6.2,2.4,0.20,3.1,12.1,18.5,15.3,15.3,44.9,50.6,19.3,92.63,1.2,415,'05-06
3021,368,Damon Stoudamire,MEM,32,27,17,10,31.9,104.9,100.1,4.9,26.3,2.33,26.0,2.8,8.8,5.8,11.2,46.0,50.4,20.1,87.62,10.2,1577,'05-06
3022,368,Devin Green,LAL,23,27,13,14,5.0,92.8,107.8,-15.0,9.7,1.40,14.0,6.9,10.7,8.7,10.0,21.4,33.6,13.9,95.03,1.9,265,'05-06
3023,368,Ha Ha,POR,20,27,4,23,7.8,98.8,110.2,-11.5,0.8,0.07,1.9,6.6,18.0,12.1,26.9,58.1,57.2,11.3,91.93,2.6,401,'05-06
3024,368,Kelvin Cato,DET,31,27,12,15,12.3,92.8,101.0,-8.1,2.2,0.22,3.3,6.2,16.2,11.1,14.6,42.9,49.3,16.4,90.54,5.3,628,'05-06
3025,368,Loren Woods,TOR,28,27,7,20,12.0,107.7,108.6,-0.9,1.8,0.25,4.7,13.4,21.6,17.3,18.8,47.5,47.6,11.1,93.47,6.6,624,'05-06
3026,368,Mateen Cleaves,SEA,28,27,10,17,8.5,98.3,106.3,-8.0,31.8,3.00,30.2,0.8,5.5,3.0,10.1,38.0,44.8,18.0,96.01,5.4,461,'05-06
3027,368,Rick Brunson,HOU,34,27,9,18,9.1,93.1,100.9,-7.7,24.3,1.59,30.2,0.5,8.3,4.7,19.0,43.5,45.5,15.4,90.78,5.3,467,'05-06
3028,375,Emeka Okafor,CHA,23,26,8,18,33.6,99.4,103.2,-3.9,6.0,0.58,6.8,10.4,20.1,15.1,11.6,41.5,46.4,21.6,93.73,10.2,1705,'05-06
3029,375,Jason Maxiell,DET,23,26,20,6,6.1,91.0,120.8,-29.7,3.1,0.27,3.4,7.4,10.7,9.0,12.5,42.6,41.4,21.6,104.00,1.3,346,'05-06
3030,375,Sergei Monia,SAC,23,26,9,17,13.2,91.5,115.2,-23.8,9.1,1.58,15.2,3.3,13.4,8.1,9.6,38.5,41.3,13.9,90.88,3.6,655,'05-06
3031,375,Voshon Lenard,POR,33,26,4,22,17.6,97.8,102.4,-4.7,15.5,1.32,14.9,1.1,9.9,5.4,11.2,45.8,46.7,22.8,94.69,7.3,903,'05-06
3032,379,Awvee Storey,WAS,29,25,16,9,4.7,101.2,93.5,7.8,5.9,0.80,7.0,6.5,13.5,9.6,8.8,42.7,45.6,19.1,100.48,3.0,242,'05-06
3033,379,Laron Profit,LAL,28,25,14,11,11.2,90.0,96.9,-6.9,10.4,0.63,11.2,2.9,12.7,7.8,17.9,49.4,55.0,19.0,94.88,10.4,550,'05-06
3034,379,Sean Marks,SAS,30,25,19,6,7.2,93.3,103.9,-10.7,7.4,1.00,7.8,7.1,19.1,13.0,7.8,52.1,53.1,20.5,94.60,12.3,357,'05-06
3035,382,Tony Delk,DET,32,24,15,9,16.0,103.0,107.0,-4.0,15.1,1.74,14.7,3.4,11.8,7.1,8.4,50.3,52.6,21.8,91.59,10.6,738,'05-06
3036,382,Yaroslav Korolev,LAC,19,24,12,12,5.3,86.9,88.8,-2.0,12.0,1.50,18.4,3.7,7.4,5.4,12.2,33.3,39.2,13.0,101.29,2.5,267,'05-06
3037,384,Andre Owens,UTA,25,23,8,15,9.1,91.9,99.7,-7.9,7.9,0.62,7.8,4.8,5.6,5.1,12.6,38.5,42.1,19.8,90.15,1.3,394,'05-06
3038,384,Boniface Ndong,LAC,28,23,14,9,6.6,94.6,109.1,-14.4,8.0,1.17,10.0,9.6,16.9,12.9,8.6,41.5,43.9,17.9,94.23,5.9,297,'05-06
3039,384,CJ Miles,UTA,19,23,7,16,8.8,100.8,102.1,-1.3,14.2,1.78,14.2,8.6,11.0,9.7,8.0,40.1,45.6,21.3,91.82,8.5,390,'05-06
3040,384,Danny Fortson,SEA,30,23,9,14,12.0,115.1,105.5,9.6,1.1,0.08,2.1,12.3,19.6,15.9,27.1,52.9,62.2,15.2,91.29,2.6,523,'05-06
3041,384,Donta Smith,ATL,22,23,6,17,5.5,105.2,98.9,6.3,10.2,2.25,20.0,2.6,9.9,6.2,8.9,59.3,58.9,11.8,102.26,6.3,271,'05-06
3042,384,Rawle Marshall,DAL,24,23,13,10,10.5,96.1,99.8,-3.7,7.0,0.67,10.1,3.7,9.7,6.8,15.2,40.8,48.8,16.8,92.60,6.4,465,'05-06
3043,384,Robert Whaley,UTA,24,23,10,13,9.2,91.6,100.0,-8.4,13.8,1.21,18.7,7.3,12.9,10.1,15.4,40.4,41.1,15.4,92.45,3.6,403,'05-06
3044,384,Ronny Turiaf,LAL,23,23,14,9,7.0,102.5,105.9,-3.4,7.8,1.14,14.0,7.0,16.7,11.8,12.3,50.0,53.7,13.6,95.57,5.9,320,'05-06
3045,384,Sean May,CHA,22,23,7,16,17.3,97.8,100.6,-2.8,10.5,0.67,8.6,9.7,18.0,13.5,12.9,40.9,47.4,24.3,97.28,10.2,808,'05-06
