,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
12,13,Washington Wizards,82,42,40,48.4,18.6,14.9,15.4,39.9,15.9,13.1,12.5,40.4,'05-06
13,14,Chicago Bulls,82,41,41,48.5,16.3,13.1,9.6,35.2,16.3,13.1,10.6,32.2,'05-06
14,14,Indiana Pacers,82,41,41,48.1,13.9,12.7,8.6,35.3,16.2,13.1,11.1,37.9,'05-06
15,14,Utah Jazz,82,41,41,48.5,15.0,14.7,10.1,37.6,17.6,12.5,12.6,34.6,'05-06
16,17,Milwaukee Bucks,82,40,42,48.4,16.8,13.4,13.3,40.4,16.7,12.2,12.1,39.7,'05-06
17,18,New Orleans/Oklahoma City Hornets,82,38,44,48.3,16.1,13.3,12.0,37.8,14.3,12.4,12.0,36.3,'05-06
18,18,Philadelphia 76ers,82,38,44,48.5,17.3,12.5,12.1,42.2,15.9,14.0,13.4,41.4,'05-06
19,20,Orlando Magic,82,36,46,48.5,15.2,13.2,11.4,40.4,17.1,13.1,12.3,36.8,'05-06
20,21,Seattle SuperSonics,82,35,47,48.4,16.2,15.0,14.9,39.8,17.6,15.3,13.3,42.8,'05-06
21,22,Golden State Warriors,82,34,48,48.4,15.6,12.9,14.0,38.8,16.1,13.7,13.3,40.8,'05-06
22,22,Houston Rockets,82,34,48,48.4,14.6,12.8,7.9,33.9,15.2,11.6,10.2,30.0,'05-06
23,24,Boston Celtics,82,33,49,48.5,15.4,12.0,12.1,39.6,18.9,13.2,10.9,39.7,'05-06
24,24,Minnesota Timberwolves,82,33,49,48.4,15.3,11.4,10.8,34.9,15.5,14.5,10.2,39.6,'05-06
25,26,Toronto Raptors,82,27,55,48.7,16.2,13.0,10.9,35.5,15.0,12.9,12.4,43.0,'05-06
26,27,Atlanta Hawks,82,26,56,48.5,16.6,14.6,11.1,40.6,18.1,15.2,12.0,44.4,'05-06
27,27,Charlotte Bobcats,82,26,56,48.5,19.3,13.4,13.1,39.3,15.5,13.6,11.4,43.4,'05-06
28,29,New York Knicks,82,23,59,48.6,15.1,14.6,7.7,43.3,20.0,12.9,11.7,37.0,'05-06
29,30,Portland Trail Blazers,82,21,61,48.1,13.3,12.5,9.5,36.9,17.3,14.0,12.4,38.9,'05-06
0,1,Dallas Mavericks,82,67,15,48.2,17.0,13.2,13.4,35.3,15.2,11.4,12.7,36.9,'06-07
1,2,Phoenix Suns,82,61,21,48.5,17.5,11.5,17.0,43.8,16.2,15.3,10.5,42.3,'06-07
2,3,San Antonio Spurs,82,58,24,48.2,16.8,12.0,11.6,39.9,15.3,12.4,10.8,38.9,'06-07
3,4,Detroit Pistons,82,53,29,48.5,16.8,14.0,10.6,35.3,13.2,13.3,11.2,37.2,'06-07
4,5,Houston Rockets,82,52,30,48.4,15.2,12.7,7.4,35.3,14.8,11.6,9.6,33.0,'06-07
5,6,Utah Jazz,82,51,31,48.3,16.3,15.0,9.4,43.1,17.5,11.1,12.2,38.2,'06-07
6,7,Cleveland Cavaliers,82,50,32,48.5,16.6,15.1,12.2,40.3,14.7,12.3,10.7,38.1,'06-07
7,8,Chicago Bulls,82,49,33,48.2,19.1,13.3,12.3,35.7,17.2,11.9,10.7,35.1,'06-07
8,9,Toronto Raptors,82,47,35,48.2,16.8,10.6,12.6,35.3,15.1,12.6,11.7,40.0,'06-07
9,10,Denver Nuggets,82,45,37,48.2,19.3,13.6,18.6,46.7,18.6,14.3,14.6,44.8,'06-07
